"DOMAIN 1: Ease of Regulatory Clarity, Predictability & Accessibility",,Andhra Pradesh (Response),Andhra Pradesh (Score),Arunachal Pradesh (Response),Arunachal Pradesh (Score),Assam (Response),Assam (Score),Bihar (Response),Bihar (Score),Chhatisgarh (Response),Chhatisgarh (Score),Delhi (Response),Delhi (Score),Goa (Response),Goa (Score),Gujarat (Response),Gujarat (Score),Haryana (Response),Haryana (Score),Himachal Pradesh (Response),Himachal Pradesh (Score),Jammu and Kashmir (Response),Jammu and Kashmir (Score),Jharkhand (Response),Jharkhand (Score),Karnataka (Response),Karnataka (Score),Kerala (Response),Kerala (Score),Madhya Pradesh (Response),Madhya Pradesh (Score),Maharashtra (Response),Maharashtra (Score),Manipur (Response),Manipur (Score),Meghalaya (Response),Meghalaya (Score),Mizoram (Response),Mizoram (Score),Nagaland (Response),Nagaland (Score),Odisha (Response),Odisha (Score),Punjab (Response),Punjab (Score),Rajasthan (Response),Rajasthan (Score),Sikkim (Response),Sikkim (Score),Tamil Nadu (Response),Tamil Nadu (Score),Telangana (Response),Telangana (Score),Tripura (Response),Tripura (Score),Uttar Pradesh (Response),Uttar Pradesh (Score),Uttarakhand (Response),Uttarakhand (Score),West Bengal (Response),West Bengal (Score)
" If the norms/procedures for annual or periodic fee hikes are prescribed (Yes, No, Maybe, Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Maybe,0.5,Maybe,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0
Exemptions and flexibilities of government schools from requirements of recognition (Yes/No/Not Mentioned/Discretion),"Yes=0, No=1, Not Mentioned=0, Discretion=0.5",Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Discretion,0.5,Yes,0,Yes,0,Not Mentioned,0,Nor Mentioned,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Discretion,0.5,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOMAIN 2: Ease of Regulatory Compliance,,,0.4380952381,,0.4086904762,,0.3805952381,,0.3528571429,,0.3610714286,,0.3095238095,,0.2976190476,,0.2976190476,,0.2947619048,,0.2854761905,,0.2182142857,,0.2457142857,,0.3333333333,,0.4066666667,,0.1367857143,,0.2241666667,,0.3211904762,,0.4404761905,,0.2775,,0.3352380952,,0.3333333333,,0.2955952381,,0.2854761905,,0.2239285714,,0.2703571429,,0.4751190476,,0.3313095238,,0.2241666667,,0.3271428571,,0.2975
1. Compliances during school establishment,,,0.4,,0,,0,,0,,0,,0,,0,,0,,0.3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0.2,,0.3,,0,,0,,0,,0
Requirement of NoC from Local Govt./Authority (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Requirement for Essentiality Certificate for establishing a School (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Not mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Land use Certificate (Yes/No/Maybe/Not Mentioned)
        a. Urban: (<2000/>2000/<3000/>3000 sq mt)
        b. Rural: (<1000/>1000/<2000/>2000 sq mt)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not mentioned,0,"Yes
Urban: <2000
Rural: >2000 sq mt",0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Application fee amount (<Rs. 3000, >3000, Not Mentioned, Depends <Types of School, Location>)","<Rs. 3000=1, >Rs. 3000=0, Not Mentioned=0, Depends= 0.5 (map the lowest value)",<Rs. 3000,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,<3000,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,<3000,1,<Rs 3000,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"Amount for security or Pledge (<Rs. 3000, >3000, Not Mentioned, Depends (Types of School, Location)","<Rs. 3000=1, >Rs. 3000=0, Not Mentioned=0, Depends= 0.5",> Rs. 3000,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Depends,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,>3000,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Infrastructure Norms for School Recognition ,,,0.1666666667,,0.1941666667,,0.1658333333,,0.1383333333,,0.1108333333,,0.25,,0.1666666667,,0.1666666667,,0.18,,0.1666666667,,0.1108333333,,0.055,,0.1666666667,,0.18,,0.1241666667,,0.1525,,0.1666666667,,0.1666666667,,0.1108333333,,0.18,,0.1666666667,,0.1525,,0.1666666667,,0.1525,,0.1108333333,,0.1941666667,,0.1525,,0.1525,,0.2083333333,,0.0825
Requirement of NoC (Yes/No/Maybe/Not Mentioned) -,"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Minimum size of land (less than equals to1 Acre/ less than equals to 2 Acres/>2 Acres/Not Mentioned),"Less than equals to1 Acre=0.66, Less than equals to 2 Acres=0.33, >2 Acres=0, Not Mentioned=1",Not Mentioned,1,Not Mentioned,1,<1 Acre,0.66,<1 Acres,0.66,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,<1 Acre,0.66,Not Mentioned,1,Not Mentioned,1,>2 acres,0.33,Not Mentioned,1,< 1 Acre,0.66,<1 Acre,0.66,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,<1 acre ,0.66,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,<1 acre,0.66
Infrastructure Required:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size of Classrooms (Yes/No/Discretion/Not Mentioned),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Maybe,0.5,Maybe,0.5,Yes,0,Yes,0,No,1,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Maybe,0.5,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Maybe,0.5,Yes,0,Maybe,0.5,Yes,0,Maybe,0.5,Not Mentioned,0,Maybe,0.5,Maybe,0.5,Yes,0
"Limitations of classroom sections, if any (Yes/No/Discretion/Not Mentioned)","Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,No,1,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0, Not Mentioned,,Not Mentioned,0,Maybe,,Not Mentioned,0,Maybe,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,,Maybe,,Maybe,
Requirement to have a Playground (Yes/No/Not Mentioned/Discretion),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Discretion,0.5,Discretion,0.5,,,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Discretion ,,Not Mentioned,0,Yes,0,Yes,0,Discretion ,,Discretion ,,Yes,0,Yes,0,Yes,0,Maybe,,Yes,0,Not Mentioned ,,Yes,0,Maybe,,Yes,0,Maybe,,Discretion,0.5,Not Mentioned,0,Not Mentioned,0,Yes,0
No. of sports equipment required (Yes/No/Not Mentioned/Discretion),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Discretion,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Discretion,0.5,Discretion ,,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Maybe,,Not Mentioned,0,Maybe,,Not Mentioned,0,Maybe,,Not Mentioned,0,Maybe,,Not Mentioned,0,Maybe,,Maybe,,Not Mentioned,0
Size of Library (Yes/No/Not Mentioned/Discretion),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Discretion,0.5,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioed,,,,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Discretion ,,Discretion ,,Not Mentioned,0,Not Mentioned,0,Yes,0,Maybe,,Not Mentioned,0,Maybe,,Not Mentioned,0,Maybe,,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
"No. of books, newspapers, etc. required in the library, (<1000/ <5000/ Not Mentioned/ Discretion)","<1000=0, <5000=0.66, Not Mentioned=1, Discretion=0.33",Discretion,0.5,Discretion,0.33,Discretion,0.33,Not Mentioned,1,Discretion,0.33,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,<1000,0,Not Mentioned,1,Discretion ,0.33,Discretion,0.33,Not Mentioned,1,Not Mentioned,1,Discretion ,0.33,Discretion ,0.33,Not Mentioned,1,Not Mentioned,1,Discretion ,0.33,Not Mentioned,1,Not Mentioned,1,Discretion ,0.33,Not Mentioned,1,Discretion ,0.33,Discretion,0.33,Discretion,0.33,Discretion,0.33,Discretion ,0.33,Not Mentioned,1,Discretion,0.33
Drinking Water facilities. (Yes/No/Maybe/Not Mentioned) ,"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Maybe,,Yes,0,Yes,0,Yes,0,Yes,0,Maybe,,Yes,0,Maybe,,Yes,0,Yes,0,Yes,0,Discretion,0.5,Maybe,,Maybe,,Yes,0,Yes,0
Separate Staffrooms for Male/Female (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Health and Sanitation Certificate (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mrntioned,,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
Health Check-up (Not required/Required/Not Mentioned),"Not required=1, Required=0, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Required,0,Not Mentioned,0,Required,0,Not Mentioned,0,Not Mentioned,0,Required,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Required,0,Required,0, Not Mentioned,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Required,0,Not Mentioned,0,Required,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Procedure for Fee Hike,,,1,,1,,1,,0.75,,0.75,,0.75,,1,,0.75,,0.75,,0.75,,0.75,,0.75,,1,,1,,0,,0.5,,1,,1,,0.75,,1,,1,,1,,0.75,,1,,1,,1,,1,,0.5,,1,,1
"Procedures for fee hikes (Applying to fee regulatory committees, submitting audited accounts, submit documents to support proposal, application to be accompanied by a monetary payment, Not Mentioned)","Applying to fee regulatory committees=, submitting audited accounts=, submit documents to support proposal=, application to be accompanied by a monetary payment=,
Not Mentioned= 1

[1- (Number of Components Present÷ Maximum Number of Components]",Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,submit documents to support proposal,0.75,Applying to fee regulatory committees,0.75,Applying to fee regulatory committees,0.75,Not Mentioned,1,Applying to fee regulatory committees,0.75,Applying to fee regulatory committees,0.75,Applying to fee regulatory committees,0.75,Applying to Director,0.75,Applying to fee regulatory committee,0.75,Not Mentioned,1,Not Mentioned,1,"Applying to committee, submit documents, audited accounts, accompanied by monetary payment",0,"Applying to fee regulatory committee, submit documents to support proposal",0.5,Not Mentioned,1,Not Mentioned,1,Applying to fee regulatory committee,0.75,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Applying to fee regulatory committees,0.75,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,"Applying to Committee, submit documents to support proposals. ",0.5,Not Mentioned,1,Not Mentioned,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Staffing,,,0.5,,0.5,,1,,0.5,,0.5,,0,,0,,0,,0,,0,,0,,0,,0,,0.5,,0.5,,0,,0,,0.75,,0,,0,,0,,0,,0,,0,,0,,0.75,,0,,0,,0,,0
Teacher-Student ratio in a class (<1:20/<1:30/1:40/Not Mentioned/Discretion of SMC),"<1:20=0.25, <1:30=0.5, 1:40=0.75, Not Mentioned=0, Discretion of SMC=1",1:30,0.5,1:30,0.5,Discretion,1,1:30,0.5,1:30,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,1:20,,Not Mentioned,0,Not Mentioned,0,<1:30,0.5,<1:30,0.5,Not mentioned,0,Not Mentioned,0,1:40,0.75,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,1:40,0.75,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Financial Reporting,,,0.5,,0.5,,0.165,,0.415,,0.5,,0.5,,0.25,,0.5,,0.5,,0.415,,0,,0.415,,0.5,,0.5,,0,,0.25,,0.415,,0.5,,0.415,,0.5,,0.5,,0.25,,0.415,,0.415,,0.415,,0.415,,0.5,,0.25,,0.415,,0.5
Financial reporting to the Government/Board (Yes/No/Maybe/Not Mentioned) ,"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Yes,0,yes,0,Yes,0,Yes,0,Yes,0,Maybe,
Consequences for not reporting financials (Yes/No/May/Not Mentioned),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned ,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,,,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not mentioned,0
Frequency of sending financial reports to the Government/Board (Quarterly/ Bi-annually/Annually/Not Mentioned),"Quarterly=0, Bi-annually=0.33, Annually=0.66, Not Mentioned=1",Not Mentioned,1,Not Mentioned,1,Annually,0.66,Annually,0.66,Not Mentioned,1,Not Mentioned,1,Annually ,,Not Mentioned,1,Not Mentioned,1,Annually,0.66,Not Mentioned ,,Annually,0.66,Not Mentioned,1,Not Mentioned,1,Annually ,,Annually ,,Annually,0.66,Not Mentioned,1,Annually,0.66,Not Mentioned,1,Not Mentioned,1,Annually ,,Annually,0.66,Annually,0.66,Annually,0.66,annually,0.66,Not Mentioned,1,Annually ,,Annually,0.66,Not mentioned,1
Existence of a Separate accounting management system (Yes/No/Maybe/Not Mentioned),"Yes=1, No=0, Maybe=0.5, Not Mentioned=0",Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Not Mentioned,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Affiliation,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0
If NoC is required for affiliation purposes (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not mentioned,0,Not mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Financial requirements for Recognition,,,0.5,,0.6666666667,,0.3333333333,,0.6666666667,,0.6666666667,,0.6666666667,,0.6666666667,,0.6666666667,,0.3333333333,,0.6666666667,,0.6666666667,,0.5,,0.6666666667,,0.6666666667,,0.3333333333,,0.6666666667,,0.6666666667,,0.6666666667,,0.6666666667,,0.6666666667,,0.6666666667,,0.6666666667,,0.6666666667,,0,,0.1666666667,,0.6666666667,,0.6666666667,,0.6666666667,,0.6666666667,,0.5
Minimum capital required for recognition (<50000/<100000/Not Required/Not Mentioned),"<50000=0.5, <100000=0, Not Mentioned=1",Not Mentioned,1,Not Mentioned ,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,<50000,0.5,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1, Not Mentioned,,<50000,0.5,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,<50000,0.5
Requirement to deposit Security/Pledge money (Yes/No/Maybe/Not Mentioned),"Yes=0, No=1, Discretion=0.5, Not Mentioned=0",Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0, Not Mentioned,,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0
Amount of Security deposit (/less than equal to10000/ less than equal to 25000/Not Required/Not Mentioned),"Less than equal to10000=0.5, Less than equal to 25000=0,  Not Mentioned=1",<10000,0.5,Not Mentioned ,1,Not Mentioned ,,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,<10000,,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,less than equals to 25000,,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1, Not Mentioned,,Not Mentioned                                                                                                                                                                                                                    ,,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1,Not Mentioned,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domain 3: Ease of Operations without Arbitrary Regulatory Action ,,,0.1187884615,,0.1267211538,,0.1962884615,,0.3266826923,,0.3102884615,,0.2995192308,,0.09543269231,,0.2544038462,,0.4385,,0.1731153846,,0.1923461538,,0.3459519231,,0.05745192308,,0.1457692308,,0.2537884615,,0.5556153846,,0.3573076923,,0.08870192308,,0.1738942308,,0.07932692308,,0.2291634615,,0.2483173077,,0.2189903846,,0.09495192308,,0.2942307692,,0.1817307692,,0.2231730769,,0.1869134615,,0.1241730769,,0.1010576923
1. Inspections ,,,0.129,,0.1415,,0.189,,0.0375,,0.145,,0.275,,0.1125,,0.133,,0.254,,0.154,,0.154,,0.1915,,0.0375,,0.16,,0.169,,0.184,,0.16,,0.1625,,0.2725,,0.125,,0.0705,,0.2625,,0.0875,,0.1875,,0.1,,0.15,,0.085,,0.1515,,0.189,,0.135
Before Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Existence of a prescribed inspection procedure before recognition (Yes, No, Maybe/Not mentioned)","Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Not Mentioned,0,Not mentioned ,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0
After Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Responsibility of schools to bear inspection costs (Yes/No/May/Not Mentioned),"Yes=0, No=1, Maybe=0.5, Not Mentioned=0",Yes,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Maybe,0.5,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Yes,0,Yes,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0,Not Mentioned,0
